,nav
2023-07-19,1.1261108053272224
2023-07-20,1.1258798112201718
2023-07-21,1.12449992706701
2023-07-24,1.1249783150597232
2023-07-25,1.119251497041861
2023-07-26,1.1207674591876406
2023-07-27,1.121819052211123
2023-07-28,1.1180099910934973
2023-07-31,1.117377758446941
2023-08-01,1.1180409468609482
2023-08-02,1.1175288446534752
2023-08-03,1.1143165143378382
2023-08-04,1.115790653620156
2023-08-07,1.116891336201238
2023-08-08,1.1171880249648105
2023-08-09,1.1182153721495303
2023-08-10,1.1175365672612034
2023-08-11,1.1196109365980467
2023-08-14,1.1204238301434128
2023-08-15,1.1238122815356293
2023-08-16,1.122788208016973
2023-08-17,1.1217653824340021
2023-08-18,1.1223012803427566
2023-08-21,1.1252704200228896
2023-08-22,1.124736664697585
2023-08-23,1.1259416520337908
2023-08-24,1.126876789308068
2023-08-25,1.1240664568468341
2023-08-28,1.1233570376882909
2023-08-29,1.1224982157658268
2023-08-30,1.1262060507206735
2023-08-31,1.1277128206800926
2023-09-01,1.126253103319259
2023-09-04,1.125265292027309
2023-09-05,1.1264593010283512
2023-09-06,1.1259990057430564
2023-09-07,1.1255275794998627
2023-09-08,1.1288525963317593
2023-09-11,1.1290057386388912
2023-09-12,1.1280507791607013
2023-09-13,1.1306134737885647
2023-09-14,1.1330457324316765
2023-09-15,1.1312304527093853
2023-09-18,1.1276224691615437
2023-09-19,1.128173127303752
2023-09-20,1.128316011642832
2023-09-21,1.1273264309801012
2023-09-22,1.1244106632623876
2023-09-25,1.1253843569906692
2023-09-26,1.124519843499815
2023-09-27,1.1205490766059385
2023-09-28,1.123675191026707
2023-10-09,1.1222979374233666
2023-10-10,1.1222459819251156
2023-10-11,1.1217386502994704
2023-10-12,1.1212457977279302
2023-10-13,1.1222605704218478
2023-10-16,1.125651216109701
2023-10-17,1.1269878739477948
2023-10-18,1.1300408310599468
2023-10-19,1.133176267433817
2023-10-20,1.1336142573236387
2023-10-23,1.1310027637304385
2023-10-24,1.1313008392145614
2023-10-25,1.1285179668835246
2023-10-26,1.125146101377686
2023-10-27,1.125343614668898
2023-10-30,1.1231028870482316
2023-10-31,1.123329925628915
2023-11-01,1.1242193244617316
2023-11-02,1.1261710509317928
2023-11-03,1.1268550413670395
2023-11-06,1.1252019678772698
2023-11-07,1.1229145044606328
2023-11-08,1.1225776275377
2023-11-09,1.12045906099047
2023-11-10,1.1213038214804307
2023-11-13,1.1214141874153007
2023-11-14,1.1228056743250967
2023-11-15,1.1233689789517542
2023-11-16,1.123648369938208
2023-11-17,1.123193546879941
2023-11-20,1.1211021280527196
2023-11-21,1.1207059625043736
2023-11-22,1.1197296945365105
2023-11-23,1.11951327969224
2023-11-24,1.120238810572067
2023-11-27,1.1217415615200823
2023-11-28,1.1214277642213069
2023-11-29,1.1215626987035514
2023-11-30,1.1219867148671863
2023-12-01,1.1230067106575696
2023-12-04,1.1242827877006694
2023-12-05,1.1234586253025334
2023-12-06,1.1232304454101534
2023-12-07,1.124384598952651
2023-12-08,1.1252067654295141
2023-12-11,1.1249419083375336
2023-12-12,1.1254846631953288
2023-12-13,1.127157480298081
2023-12-14,1.1280171578665965
2023-12-15,1.1265773089787254
2023-12-18,1.127442865574122
2023-12-19,1.1281443269033609
2023-12-20,1.128386613631348
2023-12-21,1.1272378120386937
2023-12-22,1.128355077276569
2023-12-25,1.1270535202504688
2023-12-26,1.12805307157978
2023-12-27,1.1284429271976704
2023-12-28,1.1274165634850444
2023-12-29,1.1281664792562087
2024-01-02,1.1280600923816886
2024-01-03,1.1272845334916688
2024-01-04,1.1270175926979467
2024-01-05,1.1288614097082306
2024-01-08,1.1302069988676826
2024-01-09,1.131968587064726
2024-01-10,1.1317796719028155
2024-01-11,1.1323774750247908
2024-01-12,1.1322884657017025
2024-01-15,1.1332256055684178
2024-01-16,1.1317704745733863
2024-01-17,1.133935709250166
2024-01-18,1.1325788264131296
2024-01-19,1.1360326703791903
2024-01-22,1.138832266298176
2024-01-23,1.137117982638728
2024-01-24,1.136007473495675
2024-01-25,1.135547281847134
2024-01-26,1.137108823477922
